title,target,theme,kind,href,desc
Academia de Heróis,Crianças e adolescentes,"Ansiedade, regulação e crise",Atividade lúdica,aventura_original/2calmaria/2academia/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Baús da Ansiedade,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta interativa,novas_v711_estavel/CEL_003_baus_da_ansiedade.html,"Atividade para mapear sinais, gatilhos e estratégias de enfrentamento."
Baús da Ansiedade,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Atividade lúdica,aventura_original/2calmaria/3baus/index.html,"Atividade para mapear sinais, gatilhos e estratégias de enfrentamento."
Caixa da Raiva,Crianças e adolescentes,"Ansiedade, regulação e crise",Ferramenta interativa,novas_v711_estavel/CEL_062_caixa_da_raiva.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Cartões do Medo,Crianças e adolescentes,"Ansiedade, regulação e crise",Ferramenta interativa,novas_v711_estavel/CEL_063_cartoes_do_medo.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Enfrentamento da Ansiedade,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta clínica,classica_original/2emocional/1cartoes/index.html,"Atividade para mapear sinais, gatilhos e estratégias de enfrentamento."
Estilo de Vida,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta clínica,classica_original/2emocional/2menosansiedade/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Flor e Vela,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta destacada,aprovadas/flor-e-vela/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Inventário do Herói,Crianças e adolescentes,"Ansiedade, regulação e crise",Atividade lúdica,aventura_original/2calmaria/4inventario/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Mapa da Ansiedade,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta destacada,aprovadas/mapa-da-ansiedade/index.html,"Atividade para mapear sinais, gatilhos e estratégias de enfrentamento."
Plano de Crise Emocional,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta interativa,novas_v711_estavel/CEL_056_plano_de_crise_emocional.html,Plano visual para reconhecer sinais e escolher recursos de segurança.
Prevenção de Recaída,Adultos,"Ansiedade, regulação e crise",Ferramenta interativa,novas_v711_estavel/CEL_058_prevencao_de_recaida.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Respira & Reseta: Flor e Vela Interativo,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta clínica,classica_original/2emocional/4rdflorv2/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Respira & Reseta: Flor e Vela Visual,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta clínica,classica_original/2emocional/3rdflorv1/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Roleta Reflexiva da Ansiedade,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta clínica,classica_original/2emocional/5roleta/index.html,"Atividade para mapear sinais, gatilhos e estratégias de enfrentamento."
Roleta de Enfrentamento,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta interativa,novas_v711_estavel/CEL_036_roleta_de_enfrentamento.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Rota da Calmaria,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta interativa,novas_v711_estavel/CEL_035_rota_da_calmaria.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Rota da Calmaria,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Atividade lúdica,aventura_original/6op/6rota/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Técnicas de Descanso do Herói,Crianças e adolescentes,"Ansiedade, regulação e crise",Atividade lúdica,aventura_original/2calmaria/1descanso/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Técnicas de Relaxamento,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta destacada,aprovadas/tecnicas-de-relaxamento/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Técnicas de Relaxamento,"Crianças, adolescentes e adultos","Ansiedade, regulação e crise",Ferramenta clínica,classica_original/2emocional/6relax/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Baralho das Emoções,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta destacada,aprovadas/baralho-das-emocoes/index.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Baralho das Emoções,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta interativa,novas_v711_estavel/CEL_027_baralho_das_emocoes.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Baralho das Emoções,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta clínica,classica_original/2emocional/8baralho/index.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Baralho do Capitão,Crianças e adolescentes,Emoções e comunicação emocional,Atividade lúdica,aventura_original/6op/1baralho/index.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Cartões de Sentimentos,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta destacada,aprovadas/cartoes-de-sentimentos/index.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Cartões de Sentimentos,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta interativa,novas_v711_estavel/CEL_029_cartoes_de_sentimentos.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Grande Rota das Emoções,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Atividade lúdica,aventura_original/6op/3granderota/index.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Ilha das Emoções: Jornada Terapêutica,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta clínica,classica_original/2emocional/7ilha/index.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Jogo das Emoções,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta interativa,novas_v711_estavel/CEL_028_jogo_das_emocoes.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Mapa do Humor da Semana,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta interativa,novas_v711_estavel/CEL_040_mapa_do_humor_da_semana.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Semáforo das Emoções,"Crianças, adolescentes e adultos",Emoções e comunicação emocional,Ferramenta interativa,novas_v711_estavel/CEL_030_semaforo_das_emocoes.html,"Recurso visual para nomear, diferenciar e comunicar emoções."
Apoio Visual e Baixa Demanda I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_007_apoio_visual_e_baixa_demanda.html,Atividades simples e visuais para baixa exigência verbal e cognitiva.
Apoio Visual e Baixa Demanda II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_017_apoio_visual_e_baixa_demanda.html,Atividades simples e visuais para baixa exigência verbal e cognitiva.
Apoio Visual — Novas Atividades I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_008_apoio_visual_novas_atividades.html,Atividades simples e visuais para baixa exigência verbal e cognitiva.
Apoio Visual — Novas Atividades II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_018_apoio_visual_novas_atividades.html,Atividades simples e visuais para baixa exigência verbal e cognitiva.
Colorir: Comidinhas Fofas,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Atividade lúdica,aventura_original/7quartel/4comida/index.html,"Recurso visual leve para acolhimento, vínculo e expressão."
Colorir: Espaço Geek,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Atividade lúdica,aventura_original/7quartel/2cgeek/index.html,"Recurso visual leve para acolhimento, vínculo e expressão."
Colorir: Mundo Animal,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Atividade lúdica,aventura_original/7quartel/1canimal/index.html,"Recurso visual leve para acolhimento, vínculo e expressão."
Colorir: Reino da Fantasia,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Atividade lúdica,aventura_original/7quartel/3cfantasia/index.html,"Recurso visual leve para acolhimento, vínculo e expressão."
Combinados da Rotina,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_049_combinados_da_rotina.html,"Organização visual de rotina, previsibilidade e próximos passos."
Escola em Partes,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_064_escola_em_partes.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Escolha Simples I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_012_escolha_simples.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Escolha Simples II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_022_escolha_simples.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Escudo Contra Bullying,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_059_escudo_contra_bullying.html,"Recurso para habilidades sociais, pedido de ajuda e relações."
Igual por Cor I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_015_igual_por_cor.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Igual por Cor II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_025_igual_por_cor.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Jornada por Emojis,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Atividade lúdica,aventura_original/4mapa/1faseemoji/index.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Leve ao Lugar I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_014_leve_ao_lugar.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Leve ao Lugar II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_024_leve_ao_lugar.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Mapa da Amizade,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_061_mapa_da_amizade.html,"Recurso para habilidades sociais, pedido de ajuda e relações."
Missão Detetive,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Atividade lúdica,aventura_original/4mapa/3heroismente/index.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Missão Pedir Ajuda,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_060_missao_pedir_ajuda.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Monte a Rotina I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_013_monte_a_rotina.html,"Organização visual de rotina, previsibilidade e próximos passos."
Monte a Rotina II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_023_monte_a_rotina.html,"Organização visual de rotina, previsibilidade e próximos passos."
O Que Combina? I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_010_o_que_combina.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
O Que Combina? II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_020_o_que_combina.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Onde Está? I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_009_onde_esta.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Onde Está? II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_019_onde_esta.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Plano da Espera,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_066_plano_da_espera.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Rotina Visual,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_038_rotina_visual.html,"Organização visual de rotina, previsibilidade e próximos passos."
Sequência de 3 Figuras I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_011_sequencia_de_3_figuras.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Sequência de 3 Figuras II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_021_sequencia_de_3_figuras.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Tamanho na Tela I,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_016_tamanho_na_tela.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Tamanho na Tela II,Crianças e adolescentes,"Crianças, adolescentes e apoio visual",Ferramenta interativa,novas_v711_estavel/CEL_026_tamanho_na_tela.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Desafio Cognitivo para TDAH Adulto,Adultos,"Neurodivergência, foco e habilidades",Ferramenta clínica,classica_original/4neurodiversidade/2tdah/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Foco e Concentração,"Crianças, adolescentes e adultos","Neurodivergência, foco e habilidades",Ferramenta clínica,classica_original/4neurodiversidade/1foco/index.html,"Apoio para foco, funcionamento e organização de tarefas."
Foco na Prática,"Crianças, adolescentes e adultos","Neurodivergência, foco e habilidades",Ferramenta interativa,novas_v711_estavel/CEL_031_foco_na_pratica.html,"Apoio para foco, funcionamento e organização de tarefas."
Investigação Autismo Adulto,Adultos,"Neurodivergência, foco e habilidades",Ferramenta clínica,classica_original/4neurodiversidade/4teaadulto/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Investigação TDAH Adulto,Adultos,"Neurodivergência, foco e habilidades",Ferramenta clínica,classica_original/4neurodiversidade/3tdahimpacto/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Missão Foco,Crianças e adolescentes,"Neurodivergência, foco e habilidades",Atividade lúdica,aventura_original/5arvore/1focoec/index.html,"Apoio para foco, funcionamento e organização de tarefas."
Missão da Flexibilidade,Crianças e adolescentes,"Neurodivergência, foco e habilidades",Ferramenta interativa,novas_v711_estavel/CEL_046_missao_da_flexibilidade.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Rastreio de Funcionamento e Atenção,"Crianças, adolescentes e adultos","Neurodivergência, foco e habilidades",Ferramenta interativa,novas_v711_estavel/CEL_033_rastreio_de_funcionamento_e_atencao.html,"Apoio para foco, funcionamento e organização de tarefas."
Termômetro da Frustração,Crianças e adolescentes,"Neurodivergência, foco e habilidades",Ferramenta interativa,novas_v711_estavel/CEL_047_termometro_da_frustracao.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Análise de Custo-Benefício,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta clínica,classica_original/5protocolos/3custob/index.html,Ferramenta de apoio para reestruturação cognitiva e tomada de perspectiva.
Balança de Decisão,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta interativa,novas_v711_estavel/CEL_057_balanca_de_decisao.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Bússola da Responsabilidade,Adultos,"TCC, pensamentos e tomada de decisão",Atividade lúdica,aventura_original/6op/7torta/index.html,Ferramenta de apoio para reestruturação cognitiva e tomada de perspectiva.
Caixa de Pensamentos,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta interativa,novas_v711_estavel/CEL_041_caixa_de_pensamentos.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Descatastrofização,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta clínica,classica_original/5protocolos/4descatastrofizacao/index.html,Ferramenta de apoio para reestruturação cognitiva e tomada de perspectiva.
Diário de Gatilhos,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta interativa,novas_v711_estavel/CEL_053_diario_de_gatilhos.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Identificação de Problemas,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta clínica,classica_original/5protocolos/5problemas/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Mapa da Autocobrança,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta interativa,novas_v711_estavel/CEL_051_mapa_da_autocobranca.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Plano Antiprocrastinação,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta interativa,novas_v711_estavel/CEL_052_plano_antiprocrastinacao.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Quadro de Evidências,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta clínica,classica_original/5protocolos/6evidencias/index.html,Ferramenta de apoio para reestruturação cognitiva e tomada de perspectiva.
Registro de Pensamentos,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta clínica,classica_original/1consultorio/5rpd/index.html,"Ferramenta para identificar situação, pensamento, emoção e resposta alternativa."
Registro de Pensamentos,Adultos,"TCC, pensamentos e tomada de decisão",Atividade lúdica,aventura_original/1consultorio/5rpd/index.html,"Ferramenta para identificar situação, pensamento, emoção e resposta alternativa."
Roda de Responsabilidades,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta interativa,novas_v711_estavel/CEL_032_roda_de_responsabilidades.html,Ferramenta de apoio para reestruturação cognitiva e tomada de perspectiva.
Torta da Responsabilidade,Adultos,"TCC, pensamentos e tomada de decisão",Ferramenta clínica,classica_original/5protocolos/2torta/index.html,Ferramenta de apoio para reestruturação cognitiva e tomada de perspectiva.
Autoconhecimento e Equilíbrio,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta clínica,classica_original/3identidade/1autoconhecimento/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Autoestima na Prática,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta interativa,novas_v711_estavel/CEL_006_autoestima_na_pratica.html,"Atividade para trabalhar autopercepção, qualidades e autocuidado."
Comunicação Assertiva,Adultos,"Autoconhecimento, autoestima e relações",Ferramenta interativa,novas_v711_estavel/CEL_054_comunicacao_assertiva.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Círculo de Apoio,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta interativa,novas_v711_estavel/CEL_055_circulo_de_apoio.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Inventário de Recursos Pessoais,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta interativa,novas_v711_estavel/CEL_034_inventario_de_recursos_pessoais.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Jardim das Qualidades,Crianças e adolescentes,"Autoconhecimento, autoestima e relações",Ferramenta interativa,novas_v711_estavel/CEL_050_jardim_das_qualidades.html,"Atividade para trabalhar autopercepção, qualidades e autocuidado."
Jornada da Autoestima,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Atividade lúdica,aventura_original/3eu/1autoestimacasa/index.html,"Atividade para trabalhar autopercepção, qualidades e autocuidado."
Jornada da Autoestima Feminina,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta clínica,classica_original/3identidade/2autoestimafem/index.html,"Atividade para trabalhar autopercepção, qualidades e autocuidado."
Jornada da Masculinidade,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta clínica,classica_original/3identidade/3autoestimam/index.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Kit de Bem-Estar e Alegria — Interativo,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta clínica,classica_original/3identidade/4kit/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Linha da Vida,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta clínica,classica_original/1consultorio/2linha/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Linha da Vida,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Atividade lúdica,aventura_original/1consultorio/2linha/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Mapa de Valores,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta interativa,novas_v711_estavel/CEL_039_mapa_de_valores.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Quem Sou Eu,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta clínica,classica_original/3identidade/5quemsoueu/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
RPG da Vida Real,Crianças e adolescentes,"Autoconhecimento, autoestima e relações",Atividade lúdica,aventura_original/3eu/2autoestimarpg/index.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Radar de Limites,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta interativa,novas_v711_estavel/CEL_042_radar_de_limites.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Roda da Vida Interativa,Adultos,"Autoconhecimento, autoestima e relações",Ferramenta clínica,classica_original/5protocolos/1roda/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Roda de Autocuidado Realista,"Crianças, adolescentes e adultos","Autoconhecimento, autoestima e relações",Ferramenta interativa,novas_v711_estavel/CEL_043_roda_de_autocuidado_realista.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Bússola da Jornada,Adultos,Recursos lúdicos e temáticos,Atividade lúdica,aventura_original/6op/5roda/index.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Diário da Grande Rota,Adultos,Recursos lúdicos e temáticos,Atividade lúdica,aventura_original/6op/2diario/index.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Mapa da Jornada,Adultos,Recursos lúdicos e temáticos,Atividade lúdica,aventura_original/4mapa/2fase/index.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
O Próximo Rei dos Piratas,Adultos,Recursos lúdicos e temáticos,Atividade lúdica,aventura_original/6op/4reidospiratas/index.html,Ferramenta lúdica para conduzir conversa terapêutica de forma mais engajadora.
Check-in Emocional,Adultos,Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_001_check_in_emocional.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Contrato de Próximo Passo,Adultos,Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_044_contrato_de_proximo_passo.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Detetive das Situações,Adultos,Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_048_detetive_das_situacoes.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Escada de Exposição Gradual,Adultos,Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_004_escada_de_exposicao_gradual.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Escolha e Conte,Adultos,Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_005_escolha_e_conte.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Mapa da Rotina,"Crianças, adolescentes e adultos",Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_037_mapa_da_rotina.html,"Organização visual de rotina, previsibilidade e próximos passos."
Ponte da Conversa,Adultos,Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_065_ponte_da_conversa.html,"Recurso para habilidades sociais, pedido de ajuda e relações."
Registro de Tarefa Terapêutica,Adultos,Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_073_registro_de_tarefa_terapeutica.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Trilha das Habilidades Sociais,Crianças e adolescentes,Ferramentas terapêuticas gerais,Ferramenta interativa,novas_v711_estavel/CEL_045_trilha_das_habilidades_sociais.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
